A,b,x,Y
94.96379,66.44107,27.69688,6361.33589
16.49264,18.89588,82.31042,321.34634
90.64741,8.95955,48.56426,722.28260
8.40221,95.20106,55.57076,792.93145
96.02447,57.03211,75.26000,5463.24757
72.22122,36.88558,59.18954,2698.59204
55.33220,74.12794,94.41241,4110.73054
58.53019,34.42419,67.15934,1960.60663
59.41520,75.05029,69.11807,4459.30879
99.29787,39.91875,83.57642,4057.97135
82.29153,77.55529,10.90168,6300.21394
57.50618,69.56280,26.28400,4052.81009
41.09566,81.52836,96.57428,3380.37033
68.72834,21.44204,56.30649,1457.19392
39.49369,5.06696,51.58861,238.40142
48.62504,10.61761,45.97695,560.60406
32.96378,43.42000,68.67097,1417.12559
95.71648,7.07099,56.07135,632.83811
46.27723,82.35572,20.17142,3856.04514
36.55823,85.74183,78.74743,3127.03405
56.25236,17.61691,75.64293,1004.62121
48.28700,51.69632,57.62184,2538.69072
35.53950,74.51906,9.01153,2662.64198
62.50922,85.27189,18.26019,5295.53460
51.79389,32.18094,19.78367,1708.42172
57.66656,55.39733,6.56512,3210.61742
55.24496,26.90578,66.39921,1463.59151
89.68606,62.94123,12.81950,5667.41158
57.46915,52.50053,7.96796,3074.25690
87.60863,39.64140,49.07336,3391.52723
94.29929,42.32808,90.19832,4065.83344
32.69615,82.12609,42.15598,2653.57254
73.57091,28.18477,23.82684,2002.57438
96.16293,77.66013,76.94817,7564.16738
65.38769,83.55492,80.15698,5398.14579
26.49727,63.12908,55.36992,1648.26153
92.09075,74.75857,2.61720,6930.68211
36.77379,75.32276,68.06810,2738.06078
11.01530,29.08863,94.53663,323.55763
1.59017,6.69233,69.07398,10.57666
54.75126,69.02663,73.35993,3730.41878
67.04381,27.54434,56.38219,1835.56768
87.04863,75.98848,62.77249,6609.52832
46.76638,34.70988,87.77179,1614.29452
58.59898,39.87625,13.72562,2390.41365
41.22207,99.16634,64.08079,4126.94719
60.88148,36.12012,25.65255,2229.28675
76.35623,6.18384,29.32533,405.90392
98.67437,69.68483,55.37521,6785.12006
28.26892,75.10578,43.29551,2105.23543
79.55198,2.24137,29.94266,99.13131
55.45025,18.73276,47.91001,999.49888
80.43325,28.58653,93.11554,2226.48582
87.92851,4.54856,33.96791,448.83966
36.19019,24.53355,59.10568,907.84555
61.50640,66.36480,22.03684,4079.05049
83.07795,34.78246,19.17781,2916.43880
40.53565,59.72413,40.36469,2439.53133
63.34484,82.34020,55.39004,5157.78705
22.56924,20.91817,94.42302,476.04196
27.96419,30.63966,7.49851,883.02939
21.66922,20.29144,19.27140,448.57188
99.67607,57.74619,4.56853,5657.26614
51.06761,12.31352,58.93570,663.80157
33.68833,72.06452,81.39625,2418.25652
56.19534,27.69352,51.21354,1601.89317
86.50145,41.02336,72.39590,3536.57211
63.31338,45.04478,33.26048,2912.89259
50.94105,92.67291,68.15096,4679.00623
68.40720,87.52817,58.24422,6055.43203
14.45452,89.29931,33.35147,1304.28188
76.67311,96.09267,75.94138,7407.35150
84.94803,31.84221,29.59552,2622.61756
63.36451,64.53271,87.30509,4050.25853
12.95197,78.30614,41.96634,1002.52947
34.00485,23.72774,30.57413,781.49621
66.16928,69.49375,32.79503,4663.30833
45.44014,85.42223,63.31554,3902.72943
4.07817,63.00432,67.87784,253.08875
45.59936,30.34252,42.13545,1339.72653
37.31202,75.23611,29.14046,2778.78607
82.82111,98.17101,73.41224,8054.84727
62.03487,32.42354,51.96583,2072.90505
68.65076,85.22495,86.40185,5782.10897
7.52397,58.20498,31.14892,435.94729
47.01877,67.32164,13.46618,3202.20606
70.23235,33.21655,85.38886,2295.22248
57.87531,88.69998,90.57201,5163.00483
40.31607,8.47351,30.35377,306.40615
